,Campaign,Ad_group,Keyword_type,Search_keyword,Clicks,Impressions,Cost,Leads,Prospects,CTR,CPC,Weeks,Region
0,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,2,17,38.33,0,1,11.76470588,19.165,25-01-2021,
1,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,1,13,11.7,0,0,7.692307692,11.7,25-01-2021,
2,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,4,154,45.13,0,1,2.597402597,11.2825,25-01-2021,
3,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,2,8,23.91,0,0,25,11.955,25-01-2021,
4,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,2,13,4.89,0,0,15.38461538,2.445,25-01-2021,UK
5,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,2,4.93,0,0,50,4.93,25-01-2021,Canada
6,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,1,3,13.44,1,0,33.33333333,13.44,25-01-2021,
7,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,1,9,6.08,0,0,11.11111111,6.08,25-01-2021,
8,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,1,3,6.38,0,0,33.33333333,6.38,25-01-2021,Singapore
9,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,14,0,0,0,0,0,25-01-2021,
10,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,0,5,0,0,0,0,0,25-01-2021,Canada
11,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Exact,Exact,reservation management system,0,4,0,0,0,0,0,25-01-2021,Canada
12,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,2,0,0,0,0,0,25-01-2021,
13,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Exact,Exact,reservation management system,0,10,0,0,0,0,0,25-01-2021,UK
14,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,6,0,0,0,0,0,25-01-2021,
15,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,0,26,0,0,0,0,0,25-01-2021,
16,EK_Generic_Swimming,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,2,0,0,0,0,0,25-01-2021,
17,EK_Generic_Swimming_UK,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,1,0,0,0,0,0,25-01-2021,UK
18,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,0,0,0,0,0,0,0,25-01-2021,UAE
19,EK_Generic_Swimming_Canada,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,1,0,0,0,0,0,25-01-2021,Canada
20,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,25-01-2021,UAE
21,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,2,0,0,0,0,0,25-01-2021,
22,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Exact,Exact,reservation management system,0,1,0,0,0,0,0,25-01-2021,Singapore
23,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,25-01-2021,Singapore
24,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,0,0,0,0,0,0,0,25-01-2021,UAE
25,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,12,0,0,0,0,0,25-01-2021,
26,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,0,9,0,0,0,0,0,25-01-2021,UK
27,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,reservation management system,2,3,17.43,0,1,66.66666667,8.715,01-02-2021,Canada
28,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,2,28,32.1,0,0,7.142857143,16.05,01-02-2021,UK
29,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,2,5,13.63,0,0,40,6.815,01-02-2021,
30,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,2,11,22.14,0,0,18.18181818,11.07,01-02-2021,Canada
31,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,2,12,12.27,0,0,16.66666667,6.135,01-02-2021,
32,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,2,39,28.47,0,0,5.128205128,14.235,01-02-2021,
33,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,2,25,22.61,0,0,8,11.305,01-02-2021,
34,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,1,161,12.49,0,0,0.621118012,12.49,01-02-2021,
35,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,10,3.73,0,0,10,3.73,01-02-2021,
36,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,16,6.37,0,0,6.25,6.37,01-02-2021,UK
37,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,1,8,15.11,0,0,12.5,15.11,01-02-2021,
38,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,1,12,6.23,0,0,8.333333333,6.23,01-02-2021,
39,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,0,1,0,0,0,0,0,01-02-2021,UAE
40,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,booking management software,0,1,0,0,0,0,0,01-02-2021,Singapore
41,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,0,0,0,0,0,0,0,01-02-2021,UAE
42,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,0,3,0,0,0,0,0,01-02-2021,Singapore
43,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,19,0,0,0,0,0,01-02-2021,
44,EK_Generic_Swimming_Canada,Pool_Reservation_System_Exact,Exact,pool reservation system,0,1,0,0,0,0,0,01-02-2021,Canada
45,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,4,0,0,0,0,0,01-02-2021,Canada
46,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,3,0,0,0,0,0,01-02-2021,
47,EK_Generic_Swimming,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,1,0,0,0,0,0,01-02-2021,
48,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Exact,Exact,reservation management system,0,2,0,0,0,0,0,01-02-2021,Canada
49,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Exact,Exact,reservation management system,0,5,0,0,0,0,0,01-02-2021,UK
50,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,01-02-2021,
51,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Exact,Exact,reservation management system,0,0,0,0,0,0,0,01-02-2021,Singapore
52,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,01-02-2021,Singapore
53,EK_Generic_Swimming_UK,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,0,0,0,0,0,0,01-02-2021,UK
54,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,01-02-2021,UK
55,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,0,0,0,0,0,0,01-02-2021,
56,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,reservation management system,0,0,0,0,0,0,0,01-02-2021,UAE
57,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,4,27,12.05,0,1,14.81481481,3.0125,08-02-2021,UK
58,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,3,144,29.87,0,0,2.083333333,9.956666667,08-02-2021,
59,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,3,15,42.5,0,0,20,14.16666667,08-02-2021,
60,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,2,26,32.15,0,0,7.692307692,16.075,08-02-2021,UK
61,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,2,6,40.21,0,0,33.33333333,20.105,08-02-2021,
62,EK_Generic_Swimming_UK,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,1,5,1.52,0,0,20,1.52,08-02-2021,UK
63,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,booking management software,1,3,11.33,0,0,33.33333333,11.33,08-02-2021,Singapore
64,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,1,15,11.47,0,0,6.666666667,11.47,08-02-2021,
65,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,19,4.56,0,0,5.263157895,4.56,08-02-2021,
66,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,1,15,5.03,0,0,6.666666667,5.03,08-02-2021,
67,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,1,35,14.46,0,0,2.857142857,14.46,08-02-2021,
68,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,1,20,10.98,0,0,5,10.98,08-02-2021,Canada
69,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,08-02-2021,UK
70,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,2,0,0,0,0,0,08-02-2021,
71,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,0,0,0,0,0,0,0,08-02-2021,UAE
72,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,08-02-2021,Singapore
73,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,0,7,0,0,0,0,0,08-02-2021,Singapore
74,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,0,2,0,0,0,0,0,08-02-2021,UAE
75,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,1,0,0,0,0,0,08-02-2021,
76,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Exact,Exact,reservation management system,0,2,0,0,0,0,0,08-02-2021,Canada
77,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,08-02-2021,
78,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Exact,Exact,reservation management system,0,5,0,0,0,0,0,08-02-2021,UK
79,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,11,0,0,0,0,0,08-02-2021,
80,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,08-02-2021,Canada
81,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,0,0,0,0,0,0,08-02-2021,
82,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,4,13,44.41,0,1,30.76923077,11.1025,15-02-2021,
83,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,3,31,15.97,0,1,9.677419355,5.323333333,15-02-2021,
84,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,10,357,92.09,0,0,2.801120448,9.209,15-02-2021,
85,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,8,45,25.33,0,0,17.77777778,3.16625,15-02-2021,UK
86,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,4,30,16,0,0,13.33333333,4,15-02-2021,
87,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,3,22,11.59,0,0,13.63636364,3.863333333,15-02-2021,
88,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,1,8,17.34,0,0,12.5,17.34,15-02-2021,
89,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,1,40,10.35,0,0,2.5,10.35,15-02-2021,
90,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,reservation management system,1,4,2.22,0,0,25,2.22,15-02-2021,Canada
91,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,0,3,0,0,0,0,0,15-02-2021,UAE
92,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,0,7,0,0,0,0,0,15-02-2021,Singapore
93,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,0,24,0,0,0,0,0,15-02-2021,UK
94,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,6,0,0,0,0,0,15-02-2021,
95,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,15-02-2021,UK
96,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,reservation management system,0,0,0,0,0,0,0,15-02-2021,UAE
97,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,1,0,0,0,0,0,15-02-2021,
98,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,0,0,0,0,0,0,15-02-2021,
99,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,2,0,0,0,0,0,15-02-2021,Canada
100,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio scheduling software,0,0,0,0,0,0,0,15-02-2021,
101,EK_Generic_Swimming,Pool_Reservation_Software_Open_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,15-02-2021,
102,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,0,28,0,0,0,0,0,15-02-2021,Canada
103,EK_Generic_Swimming,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,1,0,0,0,0,0,15-02-2021,
104,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Exact,Exact,reservation management system,0,8,0,0,0,0,0,15-02-2021,Canada
105,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,15-02-2021,
106,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,2,0,0,0,0,0,15-02-2021,
107,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Exact,Exact,reservation management system,0,9,0,0,0,0,0,15-02-2021,UK
108,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,0,1,0,0,0,0,0,15-02-2021,UAE
109,EK_Generic_Swimming_UK,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,1,0,0,0,0,0,15-02-2021,UK
110,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,booking management software,0,2,0,0,0,0,0,15-02-2021,Singapore
111,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Exact,Exact,reservation management system,0,10,0,0,0,0,0,15-02-2021,Singapore
112,EK_Generic_Swimming_UK,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,0,0,0,0,0,0,15-02-2021,UK
113,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,0,12,0,0,0,0,0,15-02-2021,
114,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,15-02-2021,Singapore
115,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,8,307,63.94,0,1,2.605863192,7.9925,22-02-2021,
116,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,3,21,39.76,0,0,14.28571429,13.25333333,22-02-2021,UK
117,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,2,8,17.04,0,0,25,8.52,22-02-2021,
118,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,2,18,8.69,0,0,11.11111111,4.345,22-02-2021,
119,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,2,10,15.32,0,0,20,7.66,22-02-2021,Canada
120,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,1,16,10.85,0,0,6.25,10.85,22-02-2021,
121,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,1,1,4.64,0,0,100,4.64,22-02-2021,
122,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,1,33,13.33,0,0,3.03030303,13.33,22-02-2021,
123,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,reservation management system,1,3,10.5,0,0,33.33333333,10.5,22-02-2021,Canada
124,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,11,6.83,0,0,9.090909091,6.83,22-02-2021,UK
125,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,22-02-2021,Singapore
126,EK_Generic_Swimming,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,1,0,0,0,0,0,22-02-2021,
127,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Exact,Exact,reservation management system,0,8,0,0,0,0,0,22-02-2021,Singapore
128,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,booking management software,0,2,0,0,0,0,0,22-02-2021,Singapore
129,EK_Generic_Swimming_UK,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,22-02-2021,UK
130,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,2,0,0,0,0,0,22-02-2021,
131,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Exact,Exact,reservation management system,0,1,0,0,0,0,0,22-02-2021,Canada
132,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,4,0,0,0,0,0,22-02-2021,
133,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,0,1,0,0,0,0,0,22-02-2021,UAE
134,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio scheduling software,0,0,0,0,0,0,0,22-02-2021,
135,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,5,0,0,0,0,0,22-02-2021,
136,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,0,12,0,0,0,0,0,22-02-2021,
137,EK_Generic_Swimming_UK,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,0,0,0,0,0,0,22-02-2021,UK
138,EK_Generic_Swimming_Canada,Pool_Reservation_System_Exact,Exact,pool reservation system,0,1,0,0,0,0,0,22-02-2021,Canada
139,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,22-02-2021,UAE
140,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,reservation management system,0,0,0,0,0,0,0,22-02-2021,UK
141,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,0,2,0,0,0,0,0,22-02-2021,Singapore
142,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,0,0,0,0,0,0,22-02-2021,
143,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,22-02-2021,Canada
144,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Exact,Exact,reservation management system,0,2,0,0,0,0,0,22-02-2021,UK
145,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,0,0,0,0,0,0,22-02-2021,
146,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,0,4,0,0,0,0,0,22-02-2021,UAE
147,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,1,0,0,0,0,0,22-02-2021,
148,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,5,239,42.26,0,1,2.092050209,8.452,01-03-2021,
149,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,2,14,16.96,0,0,14.28571429,8.48,01-03-2021,
150,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,2,22,25.75,0,0,9.090909091,12.875,01-03-2021,
151,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,2,20,30.32,0,0,10,15.16,01-03-2021,UK
152,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Exact,Exact,reservation management system,1,2,5.25,0,0,50,5.25,01-03-2021,Canada
153,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,1,31,9.46,0,0,3.225806452,9.46,01-03-2021,
154,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,1,9,11.4,0,0,11.11111111,11.4,01-03-2021,Canada
155,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,reservation management system,0,1,0,0,0,0,0,01-03-2021,Canada
156,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,01-03-2021,
157,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,0,3,0,0,0,0,0,01-03-2021,Singapore
158,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,reservation management system,0,0,0,0,0,0,0,01-03-2021,UAE
159,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,reservation management system,0,0,0,0,0,0,0,01-03-2021,UK
160,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,0,0,0,0,0,0,01-03-2021,
161,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,booking management software,0,3,0,0,0,0,0,01-03-2021,Singapore
162,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Exact,Exact,reservation management system,0,3,0,0,0,0,0,01-03-2021,Singapore
163,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,0,1,0,0,0,0,0,01-03-2021,
164,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,0,2,0,0,0,0,0,01-03-2021,UAE
165,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,4,0,0,0,0,0,01-03-2021,
166,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,4,0,0,0,0,0,01-03-2021,
167,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,0,2,0,0,0,0,0,01-03-2021,UAE
168,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,6,0,0,0,0,0,01-03-2021,UK
169,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,29,0,0,0,0,0,01-03-2021,
170,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,1,0,0,0,0,0,01-03-2021,
171,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,1,0,0,0,0,0,01-03-2021,
172,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,2,0,0,0,0,0,01-03-2021,Canada
173,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,0,0,0,0,0,0,01-03-2021,
174,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Exact,Exact,reservation management system,0,7,0,0,0,0,0,01-03-2021,UK
175,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,10,34,45.5,0,1,29.41176471,4.55,08-03-2021,
176,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,7,277,52.09,0,0,2.527075812,7.441428571,08-03-2021,
177,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,4,35,52.37,0,0,11.42857143,13.0925,08-03-2021,
178,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,3,20,31.04,1,0,15,10.34666667,08-03-2021,Canada
179,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,2,15,9.43,0,0,13.33333333,4.715,08-03-2021,UK
180,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,2,2,13.08,1,0,100,6.54,08-03-2021,
181,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,1,18,1.74,0,0,5.555555556,1.74,08-03-2021,
182,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,1,23,5.36,0,0,4.347826087,5.36,08-03-2021,
183,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,1,3,18.38,0,0,33.33333333,18.38,08-03-2021,
184,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,1,25,9.44,0,0,4,9.44,08-03-2021,UK
185,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,1,13,8.96,0,0,7.692307692,8.96,08-03-2021,
